queryLabel,mode,seed,variant,runtimeMedianMs,legacyMedianMs,slowdownPct,reason,selectedPlanSignature
LIBRARY#8,WARM_SHARED,7,DP_TOP3,905.336,101.518,791.7984987883922,high_uncertainty,"[0,2,1,5,4,3,6]"
LIBRARY#8,WARM_SHARED,7,DP_TOP2,904.098,101.518,790.5790106188065,high_uncertainty,"[0,2,1,5,4,3,6]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP2,890.055,165.704,437.1354946169071,high_uncertainty,"[0,2,1,5,4,3,6]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP3,880.668,165.704,431.47057403562974,high_uncertainty,"[0,2,1,5,4,3,6]"
SOCIAL_MEDIA#3,WARM_SHARED,7,DP_TOP2,63.614,12.844,395.28184366241044,missing_estimate,[0]
PHARMA#6,WARM_SHARED,7,DP_TOP3,59.174,13.035,353.96240889911775,high_uncertainty,"[0,1,3,2,4]"
LIBRARY#4,WARM_SHARED,7,DP_TOP3,661.046,147.821,347.1935651903316,missing_estimate,
PHARMA#6,WARM_SHARED,7,DP_TOP2,56.926,13.035,336.716532412735,high_uncertainty,"[0,1,3,2,4]"
ELECTRICAL_GRID#2,WARM_SHARED,7,DP_TOP2,45.553,11.206,306.50544351240404,high_uncertainty,"[0,1,2]"
LIBRARY#8,WARM_SHARED,7,DP_TOP1,411.136,101.518,304.9882779408578,high_uncertainty,"[4,5,6,2,0,3,1]"
ELECTRICAL_GRID#2,WARM_SHARED,7,DP_TOP3,45.002,11.206,301.58843476708915,high_uncertainty,"[0,1,2]"
ELECTRICAL_GRID#2,WARM_SHARED,7,DP_TOP1,44.822,11.206,299.9821524183473,high_uncertainty,"[0,1,2]"
ELECTRICAL_GRID#2,COLD_ISOLATED,-1,DP_TOP3,54.699,13.752,297.7530541012216,high_uncertainty,"[0,1,2]"
ELECTRICAL_GRID#2,COLD_ISOLATED,-1,DP_TOP1,47.04,13.752,242.0593368237347,high_uncertainty,"[0,1,2]"
ELECTRICAL_GRID#2,COLD_ISOLATED,-1,DP_TOP2,44.002,13.752,219.96800465386852,high_uncertainty,"[0,1,2]"
