queryLabel,mode,seed,variant,runtimeMedianMs,legacyMedianMs,slowdownPct,reason,selectedPlanSignature
LIBRARY#8,WARM_SHARED,7,DP_TOP2,425.641,86.698,390.946734642091,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,7,DP_TOP3,420.874,86.698,385.44833790860235,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,7,DP_TOP1,420.839,86.698,385.40796788853265,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,19,DP_TOP2,435.117,91.299,376.5846285282423,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,19,DP_TOP3,433.986,91.299,375.34584168501294,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,19,DP_TOP1,429.263,91.299,370.1727291646129,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP2,440.117,95.646,360.15201890303825,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,11,DP_TOP1,417.592,93.458,346.8231719060969,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,11,DP_TOP3,415.456,93.458,344.5376532774081,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP3,424.437,95.646,343.75823348597953,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,11,DP_TOP2,402.583,93.458,330.76355154186905,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP1,410.815,95.646,329.51613240490974,high_uncertainty,"[0,2,5,4,6,1,3]"
