queryLabel,mode,seed,variant,runtimeMedianMs,legacyMedianMs,slowdownPct,reason,selectedPlanSignature
LIBRARY#8,WARM_SHARED,19,DP_TOP3,434.468,72.854,496.3543525406979,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,19,DP_TOP2,433.242,72.854,494.671534850523,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,7,DP_TOP3,439.423,75.357,483.1216741643113,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,11,DP_TOP3,434.179,78.182,455.3439410606021,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,19,DP_TOP1,396.009,72.854,443.56521261701494,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,7,DP_TOP2,404.379,75.357,436.6176997491939,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,7,DP_TOP1,395.343,75.357,424.62677654365217,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,11,DP_TOP2,403.349,78.182,415.9103118364841,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,WARM_SHARED,11,DP_TOP1,397.545,78.182,408.4866081706787,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP1,432.892,100.144,332.2695318741013,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP3,422.159,100.144,321.551965170155,high_uncertainty,"[0,2,5,4,6,1,3]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP2,413.724,100.144,313.12909410448947,high_uncertainty,"[0,2,5,4,6,1,3]"
