queryLabel,mode,seed,variant,runtimeMedianMs,legacyMedianMs,slowdownPct,reason,selectedPlanSignature
LIBRARY#8,WARM_SHARED,19,DP_TOP3,728.348,79.419,817.0954053815838,high_uncertainty,"[1,2,5,0,3,4,6]"
LIBRARY#8,WARM_SHARED,11,DP_TOP3,775.804,84.92,813.5704192180876,high_uncertainty,"[1,2,5,0,3,4,6]"
LIBRARY#8,WARM_SHARED,7,DP_TOP3,747.642,87.496,754.4870622657037,high_uncertainty,"[1,2,5,0,3,4,6]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP3,745.776,99.989,645.8580443848822,high_uncertainty,"[1,2,5,0,3,4,6]"
LIBRARY#8,WARM_SHARED,19,DP_TOP1,328.302,79.419,313.3796698523024,high_uncertainty,"[2,5,0,3,4,6,1]"
LIBRARY#8,WARM_SHARED,19,DP_TOP2,321.711,79.419,305.0806482076078,high_uncertainty,"[2,0,5,3,4,6,1]"
LIBRARY#8,WARM_SHARED,11,DP_TOP1,320.589,84.92,277.51884126236456,high_uncertainty,"[2,5,0,3,4,6,1]"
LIBRARY#8,WARM_SHARED,7,DP_TOP2,322.654,87.496,268.7642863673768,high_uncertainty,"[2,0,5,3,4,6,1]"
LIBRARY#8,WARM_SHARED,11,DP_TOP2,299.247,84.92,252.38695242581252,high_uncertainty,"[2,0,5,3,4,6,1]"
LIBRARY#8,WARM_SHARED,7,DP_TOP1,300.61,87.496,243.56999177105246,high_uncertainty,"[2,5,0,3,4,6,1]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP1,326.826,99.989,226.86195481502963,high_uncertainty,"[2,5,0,3,4,6,1]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP2,325.437,99.989,225.4728020082209,high_uncertainty,"[2,0,5,3,4,6,1]"
