queryLabel,mode,seed,variant,runtimeMedianMs,legacyMedianMs,slowdownPct,reason,selectedPlanSignature
LIBRARY#8,WARM_SHARED,11,DP_TOP2,396.619,78.62,404.47596031544134,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,11,DP_TOP3,390.986,78.62,397.3111167641821,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,11,DP_TOP1,388.092,78.62,393.63011956245225,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,7,DP_TOP3,418.855,86.345,385.09467832532283,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,19,DP_TOP2,399.733,82.639,383.7098706421907,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,19,DP_TOP3,397.684,82.639,381.230411791043,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,7,DP_TOP2,413.997,86.345,379.46841160460946,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,7,DP_TOP1,410.971,86.345,375.96386588684925,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,WARM_SHARED,19,DP_TOP1,391.76,82.639,374.0618836142741,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP1,479.236,147.812,224.21995507807213,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP2,469.231,147.812,217.4512218223148,high_uncertainty,"[4,6,5,3,2,0,1]"
LIBRARY#8,COLD_ISOLATED,-1,DP_TOP3,396.138,147.812,168.00124482450678,high_uncertainty,"[4,6,5,3,2,0,1]"
