rule,target,observation,context,status,reference
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,BAG,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,BAG,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,SET,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,SET,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,SEQUENCE,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,SEQUENCE,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,ASK,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,RDF4J_RUNTIME,ASK,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,BAG,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,BAG,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,SET,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,SET,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,SEQUENCE,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,SEQUENCE,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,ASK,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_1,ASK,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,BAG,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,BAG,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,SET,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,SET,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,SEQUENCE,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,SEQUENCE,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,ASK,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,SPARQL_1_2_DRAFT_2026_06_05,ASK,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,BAG,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,BAG,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,SET,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,SET,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,SEQUENCE,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,SEQUENCE,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,ASK,TOP_LEVEL_EMPTY,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
STRUCTURAL_EQUALITY,BOTH_1_1_AND_1_2,ASK,ALL_BINDINGS,THEOREM,Rdf4jEquivalenceFormal.equivalent_in_context_refl
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,BAG,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,BAG,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,SET,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,SET,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,SEQUENCE,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,SEQUENCE,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,ASK,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,RDF4J_RUNTIME,ASK,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,BAG,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,BAG,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,SET,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,SET,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,SEQUENCE,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,SEQUENCE,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,ASK,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_1,ASK,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_2_DRAFT_2026_06_05,BAG,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_2_DRAFT_2026_06_05,BAG,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_2_DRAFT_2026_06_05,SET,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_2_DRAFT_2026_06_05,SET,ALL_BINDINGS,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
JOIN_ASSOCIATIVE,SPARQL_1_2_DRAFT_2026_06_05,SEQUENCE,TOP_LEVEL_EMPTY,INAPPLICABLE,CertifiedRuleRegistry disables this rule until its totality/error and Java-to-Lean step-replay obligations are discharged
