--- Execution profile ---
Total samples       : 6447

          ns  percent  samples  top
  ----------  -------  -------  ---
  7855000000   24.37%     1571  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
  1770000000    5.49%      354  _platform_memcmp
  1280000000    3.97%      256  org.eclipse.rdf4j.sail.lmdb.LeadingFieldSorters.lsdRadixSort
   920000000    2.85%      184  _platform_memmove
   620000000    1.92%      124  stub:memcmp
   560000000    1.74%      112  G1ParScanThreadState::do_copy_to_survivor_space
   540000000    1.68%      108  writev
   520000000    1.61%      104  void G1ScanCardClosure::do_oop_work<narrowOop>
   425000000    1.32%       85  G1ConcurrentMark::mark_in_bitmap
   390000000    1.21%       78  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   380000000    1.18%       76  G1PostEvacuateCollectionSetCleanupTask1::RestoreEvacFailureRegionsTask::process_chunk
   355000000    1.10%       71  HeapWordImpl** G1HeapRegion::oops_on_memregion_iterate<G1ScanCardClosure, true>
   350000000    1.09%       70  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   345000000    1.07%       69  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   330000000    1.02%       66  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   300000000    0.93%       60  void G1RebuildRemSetClosure::do_oop_work<narrowOop>
   285000000    0.88%       57  G1CMOopClosure::do_oop
   280000000    0.87%       56  G1ParScanThreadState::trim_queue_to_threshold
   250000000    0.78%       50  __psynch_cvwait
   250000000    0.78%       50  __psynch_mutexwait
   250000000    0.78%       50  java.util.HashMap.putVal
   230000000    0.71%       46  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.probe
   225000000    0.70%       45  G1ConcurrentMark::scan_root_region
   220000000    0.68%       44  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_object
   205000000    0.64%       41  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   205000000    0.64%       41  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   190000000    0.59%       38  java.io.PushbackReader.read
   180000000    0.56%       36  void OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   165000000    0.51%       33  java.util.HashMap.resize
   155000000    0.48%       31  close
   150000000    0.47%       30  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   150000000    0.47%       30  org.eclipse.rdf4j.sail.lmdb.PreparedStatementBatch.valueId
   150000000    0.47%       30  java.lang.String.equals
   145000000    0.45%       29  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_and_scrub_region
   140000000    0.43%       28  java.nio.Buffer.session
   130000000    0.40%       26  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_put
   130000000    0.40%       26  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
   130000000    0.40%       26  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.probe
   110000000    0.34%       22  stub:memcpy
   105000000    0.33%       21  _platform_memset
   105000000    0.33%       21  checkcast_arraycopy
   105000000    0.33%       21  java.nio.charset.CharsetDecoder.decode
   100000000    0.31%       20  G1ParScanThreadState::handle_evacuation_failure_par
   100000000    0.31%       20  java.lang.String.decodeASCII
    95000000    0.29%       19  java.nio.ByteBuffer.order
    95000000    0.29%       19  inflate_fast
    95000000    0.29%       19  G1CollectedHeap::mark_evac_failure_object
