--- Execution profile ---
Total samples       : 9832

          ns  percent  samples  top
  ----------  -------  -------  ---
 16150000000   32.85%     3230  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
  5480000000   11.15%     1096  _platform_memcmp
  4020000000    8.18%      804  __psynch_cvwait
  1860000000    3.78%      372  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.flush
  1535000000    3.12%      307  stub:memcmp
  1180000000    2.40%      236  org.eclipse.rdf4j.sail.lmdb.LeadingFieldSorters.lsdRadixSort
  1070000000    2.18%      214  _platform_memmove
   765000000    1.56%      153  swtch_pri
   570000000    1.16%      114  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.startTransaction
   545000000    1.11%      109  __psynch_cvsignal
   530000000    1.08%      106  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   490000000    1.00%       98  writev
   435000000    0.88%       87  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   415000000    0.84%       83  __psynch_mutexwait
   380000000    0.77%       76  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.addBatchValue
   335000000    0.68%       67  updateBytesCRC32_stub
   330000000    0.67%       66  pthread_jit_write_protect_np
   305000000    0.62%       61  java.util.concurrent.ConcurrentHashMap.replaceNode
   260000000    0.53%       52  java.io.PushbackReader.read
   250000000    0.51%       50  org.eclipse.collections.impl.iterator.UnmodifiableLongIterator.hasNext
   235000000    0.48%       47  G1ParScanThreadState::do_copy_to_survivor_space
   235000000    0.48%       47  java.util.concurrent.ConcurrentHashMap.get
   200000000    0.41%       40  java.util.concurrent.ForkJoinPool.runWorker
   200000000    0.41%       40  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.lambda$startTransaction$0
   200000000    0.41%       40  java.util.concurrent.ConcurrentHashMap.putVal
   160000000    0.33%       32  java.lang.String.equals
   160000000    0.33%       32  _platform_memset
   155000000    0.32%       31  org.eclipse.rdf4j.sail.lmdb.ValueStore.getStoredHash
   150000000    0.31%       30  java.lang.Thread.interrupted
   125000000    0.25%       25  mach_absolute_time
   125000000    0.25%       25  java.nio.Buffer.session
   120000000    0.24%       24  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_put
   120000000    0.24%       24  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$CircularBuffer.remove
   115000000    0.23%       23  sun.nio.cs.StreamDecoder.read0
   115000000    0.23%       23  java.util.concurrent.ConcurrentHashMap.tabAt
   110000000    0.22%       22  itable stub
   110000000    0.22%       22  java.util.concurrent.ForkJoinPool.deactivate
   110000000    0.22%       22  java.util.HashMap.getNode
   110000000    0.22%       22  org.eclipse.rdf4j.sail.lmdb.ValueStore.bufferEquals
   100000000    0.20%       20  stub:memcpy
   100000000    0.20%       20  java.util.HashMap.putVal
    95000000    0.19%       19  inflate_fast
    85000000    0.17%       17  org.eclipse.rdf4j.common.net.ParsedIRI.parsePctEncoded
    80000000    0.16%       16  org.eclipse.rdf4j.sail.lmdb.ConcurrentCache.put
    80000000    0.16%       16  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.approveBuffered
    80000000    0.16%       16  org.eclipse.rdf4j.sail.lmdb.ValueStore.getLmdbValue
    80000000    0.16%       16  PhaseChaitin::build_ifg_physical
    80000000    0.16%       16  java.nio.Buffer.nextPutIndex
    80000000    0.16%       16  PhaseChaitin::Split
    80000000    0.16%       16  java.lang.String.decodeASCII
    80000000    0.16%       16  java.nio.DirectByteBuffer.putShort
    75000000    0.15%       15  IndexSetIterator::advance_and_next
    75000000    0.15%       15  sun.nio.cs.UTF_8$Decoder.decodeArrayLoop
    75000000    0.15%       15  org.eclipse.rdf4j.sail.lmdb.ConcurrentCache.get
