--- Execution profile ---
Total samples       : 2849

          ns  percent  samples  top
  ----------  -------  -------  ---
  1325000000    9.30%      265  org.eclipse.rdf4j.sail.lmdb.TripleStore.packedValueId
   895000000    6.28%      179  java.util.ArrayList.add
   610000000    4.28%      122  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
   545000000    3.83%      109  java.lang.String.equals
   520000000    3.65%      104  G1ParScanThreadState::do_copy_to_survivor_space
   315000000    2.21%       63  count_positives_stub
   310000000    2.18%       62  org.eclipse.rdf4j.sail.lmdb.LmdbStoreConnection.addStatementInternal
   225000000    1.58%       45  writev
   225000000    1.58%       45  java.io.PushbackReader.read
   205000000    1.44%       41  java.util.LinkedHashMap$LinkedHashIterator.nextNode
   195000000    1.37%       39  __psynch_cvwait
   155000000    1.09%       31  G1ConcurrentMark::mark_in_bitmap
   155000000    1.09%       31  org.eclipse.rdf4j.sail.base.SailSourceConnection$2.next
   150000000    1.05%       30  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   150000000    1.05%       30  java.util.HashMap.hash
   135000000    0.95%       27  G1ParScanThreadState::trim_queue_to_threshold
   135000000    0.95%       27  sun.nio.cs.StreamDecoder.read0
   135000000    0.95%       27  org.eclipse.rdf4j.sail.lmdb.TripleStore.logAddedStatements
   125000000    0.88%       25  jbyte_disjoint_arraycopy_stub
   115000000    0.81%       23  java.lang.String.encodeUTF8
   115000000    0.81%       23  org.eclipse.rdf4j.model.impl.DynamicModel$1.hasNext
   115000000    0.81%       23  org.eclipse.rdf4j.sail.base.SailSourceConnection$2.hasNext
   110000000    0.77%       22  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   110000000    0.77%       22  void G1ScanCardClosure::do_oop_work<narrowOop>
    95000000    0.67%       19  java.lang.String.decodeASCII
    95000000    0.67%       19  __psynch_mutexwait
    90000000    0.63%       18  SpinPause
    90000000    0.63%       18  org.eclipse.rdf4j.sail.base.Changeset.approveCompactWithoutMaterialization
    90000000    0.63%       18  org.eclipse.rdf4j.sail.lmdb.TripleStore.storePackedStatements
    85000000    0.60%       17  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    85000000    0.60%       17  arrayof_jlong_disjoint_arraycopy_stub
    80000000    0.56%       16  fwd_copy_drain
    80000000    0.56%       16  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedValues
    80000000    0.56%       16  inflate_fast
    80000000    0.56%       16  void OopOopIterateDispatch<G1MarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    80000000    0.56%       16  org.eclipse.rdf4j.sail.base.SailSourceConnection.access$000
    75000000    0.53%       15  vtable stub
    70000000    0.49%       14  java.lang.Character.offsetByCodePoints
    70000000    0.49%       14  java.lang.String.encodeUTF8_UTF16
    70000000    0.49%       14  org.eclipse.rdf4j.model.impl.DynamicModel$1.next
    65000000    0.46%       13  _platform_memset
    65000000    0.46%       13  java.nio.CharBuffer.wrap
    65000000    0.46%       13  org.eclipse.rdf4j.rio.turtle.TurtleParser.readCodePoint
    65000000    0.46%       13  java.util.HashMap.putVal
    60000000    0.42%       12  G1ConcurrentMark::scan_root_region
    60000000    0.42%       12  sun.nio.cs.StreamDecoder.read
    60000000    0.42%       12  java.util.HashMap.getNode
    60000000    0.42%       12  org.eclipse.rdf4j.sail.helpers.DefaultSailChangedEvent.setStatementsAdded
    55000000    0.39%       11  Node::set_req_X
    55000000    0.39%       11  IndexSetIterator::advance_and_next
    55000000    0.39%       11  PhaseChaitin::build_ifg_physical
    55000000    0.39%       11  copy_byte_f_stub
    55000000    0.39%       11  zero_blocks_stub
    50000000    0.35%       10  _platform_bzero
    50000000    0.35%       10  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_object
    45000000    0.32%        9  java.nio.Buffer.position
    45000000    0.32%        9  org.eclipse.rdf4j.model.base.AbstractBNode.hashCode
    45000000    0.32%        9  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedQuadIds
    40000000    0.28%        8  org.eclipse.rdf4j.model.Literal.getType
    40000000    0.28%        8  java.util.Arrays.binarySearch0
    40000000    0.28%        8  G1FullGCCompactTask::copy_object_to_new_location
    40000000    0.28%        8  java.util.Collections$UnmodifiableCollection$1.next
    40000000    0.28%        8  __unlink
    40000000    0.28%        8  PhaseChaitin::elide_copy
    40000000    0.28%        8  java.lang.AbstractStringBuilder.append
    40000000    0.28%        8  java.io.PushbackReader.unread
    40000000    0.28%        8  PhaseChaitin::gather_lrg_masks
    35000000    0.25%        7  G1CMOopClosure::do_oop
    35000000    0.25%        7  org.eclipse.rdf4j.common.net.ParsedIRI.parsePctEncoded
    35000000    0.25%        7  PhaseIterGVN::subsume_node
    35000000    0.25%        7  org.eclipse.rdf4j.sail.lmdb.PackedValueCodec.encodeLiteral
    35000000    0.25%        7  G1RegionMarkStatsCache::add_live_words
    35000000    0.25%        7  __open
    35000000    0.25%        7  semaphore_wait_trap
    35000000    0.25%        7  G1FullGCMarker::publish_and_drain_oop_tasks
    35000000    0.25%        7  java.util.ArrayList$Itr.next
    35000000    0.25%        7  java.lang.String.regionMatches
    35000000    0.25%        7  InstanceKlass::find_method_index
    30000000    0.21%        6  PhaseIterGVN::add_users_of_use_to_worklist
    30000000    0.21%        6  Arena::contains
    30000000    0.21%        6  void G1ScanClosureBase::handle_non_cset_obj_common<narrowOop>
    30000000    0.21%        6  pthread_jit_write_protect_np
    30000000    0.21%        6  org.eclipse.rdf4j.common.net.ParsedIRI.advance
    30000000    0.21%        6  PhaseIdealLoop::build_loop_late
    30000000    0.21%        6  org.eclipse.rdf4j.model.IRI.getType
    30000000    0.21%        6  java.util.Collections$UnmodifiableCollection$1.hasNext
    30000000    0.21%        6  LIR_OpVisitState::visit
    30000000    0.21%        6  void G1CMTask::process_grey_task_entry<true>
    30000000    0.21%        6  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    30000000    0.21%        6  ClassLoaderData::oops_do
    30000000    0.21%        6  fwd_copy_again
    25000000    0.18%        5  void ObjArrayKlass::oop_oop_iterate_elements_bounded<narrowOop, G1MarkAndPushClosure>
    25000000    0.18%        5  org.eclipse.rdf4j.model.impl.GenericStatement.getContext
    25000000    0.18%        5  G1CMBitMap::iterate
    25000000    0.18%        5  ___chkstk_darwin
    25000000    0.18%        5  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseURI
    25000000    0.18%        5  java.nio.HeapCharBuffer.<init>
    25000000    0.18%        5  PhaseChaitin::Split
    25000000    0.18%        5  java.lang.StringLatin1.regionMatchesCI
    25000000    0.18%        5  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    25000000    0.18%        5  sun.nio.cs.StreamDecoder.ensureOpen
    25000000    0.18%        5  jdk.internal.misc.Unsafe.convEndian
    25000000    0.18%        5  Matcher::xform
    20000000    0.14%        4  NodeHash::hash_find_insert
    20000000    0.14%        4  mach_msg2_trap
    20000000    0.14%        4  java.nio.Buffer.nextPutIndex
    20000000    0.14%        4  org.eclipse.rdf4j.common.net.ParsedIRI.parse
    20000000    0.14%        4  java.lang.String.length
    20000000    0.14%        4  org.eclipse.rdf4j.model.base.InternedIRI.hashCode
    20000000    0.14%        4  SymbolTable::do_lookup
    20000000    0.14%        4  G1PostEvacuateCollectionSetCleanupTask1::RestoreEvacFailureRegionsTask::process_chunk
    20000000    0.14%        4  void OopOopIterateDispatch<G1AdjustClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    20000000    0.14%        4  PhaseOutput::BuildOopMaps
    20000000    0.14%        4  java.lang.String.charAt
    20000000    0.14%        4  inflate
    20000000    0.14%        4  close
    20000000    0.14%        4  ciObjectFactory::get_metadata
    20000000    0.14%        4  _Copy_disjoint_words
    20000000    0.14%        4  swtch_pri
    20000000    0.14%        4  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    20000000    0.14%        4  java.util.Objects.checkIndex
    15000000    0.11%        3  write
    15000000    0.11%        3  org.eclipse.rdf4j.model.BNode.getType
