--- Execution profile ---
Total samples       : 4550

          ns  percent  samples  top
  ----------  -------  -------  ---
  2085000000    9.16%      417  org.eclipse.rdf4j.sail.lmdb.TripleStore.packedValueId
  1410000000    6.20%      282  count_positives_stub
  1135000000    4.99%      227  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.get
  1035000000    4.55%      207  org.eclipse.rdf4j.sail.lmdb.TripleStore.logAddedStatements
   960000000    4.22%      192  writev
   645000000    2.84%      129  java.lang.String.encodeUTF8
   575000000    2.53%      115  void G1ScanCardClosure::do_oop_work<narrowOop>
   525000000    2.31%      105  jbyte_disjoint_arraycopy_stub
   460000000    2.02%       92  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.put
   405000000    1.78%       81  G1ParScanThreadState::do_copy_to_survivor_space
   390000000    1.71%       78  org.eclipse.rdf4j.sail.lmdb.TripleStore.storePackedStatements
   375000000    1.65%       75  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.toNonSentinel
   295000000    1.30%       59  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   270000000    1.19%       54  java.io.PushbackReader.read
   240000000    1.05%       48  copy_byte_f_stub
   220000000    0.97%       44  java.lang.String.encodeUTF8_UTF16
   220000000    0.97%       44  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedValues
   220000000    0.97%       44  G1ParScanThreadState::trim_queue_to_threshold
   205000000    0.90%       41  org.eclipse.rdf4j.model.Literal.getType
   200000000    0.88%       40  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.getIfAbsent
   190000000    0.84%       38  __open
   185000000    0.81%       37  __psynch_cvwait
   180000000    0.79%       36  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.nullSafeEquals
   175000000    0.77%       35  org.eclipse.rdf4j.model.IRI.getType
   170000000    0.75%       34  java.util.ArrayList.add
   170000000    0.75%       34  _platform_memset
   165000000    0.73%       33  zero_blocks_stub
   165000000    0.73%       33  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.spread
   155000000    0.68%       31  java.nio.HeapByteBuffer.<init>
   150000000    0.66%       30  arrayof_jlong_disjoint_arraycopy_stub
   150000000    0.66%       30  fwd_copy_drain
   145000000    0.64%       29  __psynch_mutexwait
   125000000    0.55%       25  vtable stub
   125000000    0.55%       25  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
