--- Execution profile ---
Total samples       : 5445

          ns  percent  samples  top
  ----------  -------  -------  ---
  1670000000    6.13%      334  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.getIfAbsent
  1185000000    4.35%      237  count_positives_stub
  1040000000    3.82%      208  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   880000000    3.23%      176  writev
   815000000    2.99%      163  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.probe
   795000000    2.92%      159  G1ConcurrentMark::scan_root_region
   735000000    2.70%      147  java.util.LinkedHashMap$LinkedHashIterator.nextNode
   715000000    2.63%      143  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_object
   685000000    2.52%      137  void G1ScanCardClosure::do_oop_work<narrowOop>
   615000000    2.26%      123  org.eclipse.rdf4j.sail.lmdb.PackedStatementList.copyOf
   575000000    2.11%      115  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.spread
   525000000    1.93%      105  java.lang.String.encodeUTF8
   525000000    1.93%      105  jbyte_disjoint_arraycopy_stub
   505000000    1.85%      101  G1ConcurrentMark::mark_in_bitmap
   440000000    1.62%       88  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.nullSafeEquals
   440000000    1.62%       88  __psynch_mutexwait
   435000000    1.60%       87  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedValues
   345000000    1.27%       69  vtable stub
   305000000    1.12%       61  checkcast_arraycopy_stub
   280000000    1.03%       56  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   270000000    0.99%       54  java.io.PushbackReader.read
   270000000    0.99%       54  copy_byte_f_stub
   260000000    0.96%       52  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
   250000000    0.92%       50  G1PostEvacuateCollectionSetCleanupTask1::RestoreEvacFailureRegionsTask::process_chunk
   250000000    0.92%       50  G1CMOopClosure::do_oop
   240000000    0.88%       48  __psynch_cvwait
   220000000    0.81%       44  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   190000000    0.70%       38  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.isRemovedKey
   190000000    0.70%       38  _platform_memset
   180000000    0.66%       36  org.eclipse.rdf4j.sail.base.SailSourceConnection$2.next
   180000000    0.66%       36  void G1RebuildRemSetClosure::do_oop_work<narrowOop>
   170000000    0.62%       34  mach_absolute_time
   155000000    0.57%       31  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.put
   155000000    0.57%       31  java.util.ArrayList.add
   150000000    0.55%       30  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.toNonSentinel
   150000000    0.55%       30  java.nio.HeapByteBuffer.<init>
   150000000    0.55%       30  __open
   145000000    0.53%       29  java.lang.String.encodeUTF8_UTF16
   140000000    0.51%       28  G1ParScanThreadState::do_copy_to_survivor_space
   140000000    0.51%       28  os::javaTimeNanos
   135000000    0.50%       27  G1ParScanThreadState::trim_queue_to_threshold
   135000000    0.50%       27  org.eclipse.rdf4j.model.base.AbstractBNode.hashCode
   135000000    0.50%       27  zero_blocks_stub
   135000000    0.50%       27  G1ScanHRForRegionClosure::scan_heap_roots
   130000000    0.48%       26  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
   130000000    0.48%       26  mach_msg2_trap
