--- Execution profile ---
Total samples       : 3671

          ns  percent  samples  top
  ----------  -------  -------  ---
  4380000000   23.86%      876  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
  1390000000    7.57%      278  _platform_memcmp
   645000000    3.51%      129  stub:memcmp
   520000000    2.83%      104  __psynch_cvwait
   370000000    2.02%       74  java.io.PushbackReader.read
   265000000    1.44%       53  G1ParScanThreadState::do_copy_to_survivor_space
   255000000    1.39%       51  _platform_memmove
   185000000    1.01%       37  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   180000000    0.98%       36  __psynch_mutexwait
   175000000    0.95%       35  org.eclipse.rdf4j.sail.lmdb.ValueStore.getId
   155000000    0.84%       31  org.eclipse.rdf4j.sail.lmdb.TripleStore.packedValueId
   150000000    0.82%       30  java.lang.String.equals
   140000000    0.76%       28  Node::set_req_X
   130000000    0.71%       26  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   125000000    0.68%       25  SpinPause
   120000000    0.65%       24  void OopOopIterateDispatch<G1MarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   115000000    0.63%       23  writev
   105000000    0.57%       21  java.lang.String.decodeASCII
   105000000    0.57%       21  G1FullGCResetMetadataTask::G1ResetMetadataClosure::scrub_skip_compacting_region
   105000000    0.57%       21  G1ParScanThreadState::trim_queue_to_threshold
    95000000    0.52%       19  Arena::contains
    95000000    0.52%       19  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedValues
    95000000    0.52%       19  inflate_fast
    85000000    0.46%       17  PhaseLive::compute
    85000000    0.46%       17  sun.nio.cs.StreamDecoder.read0
    80000000    0.44%       16  java.nio.Buffer.position
    75000000    0.41%       15  PhaseChaitin::Split
    75000000    0.41%       15  java.util.Arrays.fill
    75000000    0.41%       15  IndexSetIterator::advance_and_next
    75000000    0.41%       15  org.eclipse.rdf4j.model.impl.SimpleLiteral.equals
    70000000    0.38%       14  java.nio.CharBuffer.wrap
    70000000    0.38%       14  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
    65000000    0.35%       13  java.io.PushbackReader.unread
    65000000    0.35%       13  PhaseChaitin::build_ifg_physical
    65000000    0.35%       13  Unique_Node_List::remove
    65000000    0.35%       13  G1FullGCMarker::publish_and_drain_oop_tasks
    65000000    0.35%       13  org.eclipse.rdf4j.common.net.ParsedIRI.parsePctEncoded
    65000000    0.35%       13  PhaseChaitin::gather_lrg_masks
    60000000    0.33%       12  org.eclipse.rdf4j.rio.turtle.TurtleParser.readCodePoint
    60000000    0.33%       12  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
    60000000    0.33%       12  sun.nio.cs.UTF_8$Decoder.decodeArrayLoop
    55000000    0.30%       11  PhaseIdealLoop::build_loop_early
    55000000    0.30%       11  PhaseChaitin::elide_copy
    55000000    0.30%       11  large_arrays_hashcode_boolean_stub
    50000000    0.27%       10  PhaseIdealLoop::build_loop_late
    50000000    0.27%       10  org.lwjgl.util.lmdb.LMDB.nmdb_put
    50000000    0.27%       10  sun.nio.cs.StreamDecoder.read
    50000000    0.27%       10  org.eclipse.rdf4j.sail.lmdb.TripleStore.storePackedStatements
    50000000    0.27%       10  _platform_memset
    45000000    0.25%        9  _platform_bzero
    45000000    0.25%        9  void OopOopIterateDispatch<G1AdjustClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    45000000    0.25%        9  Compile::identify_useful_nodes
    45000000    0.25%        9  org.eclipse.rdf4j.sail.lmdb.util.IndexKeyWriters$$Lambda.0x0000100001151d00.write
    45000000    0.25%        9  java.lang.String.hashCode
    45000000    0.25%        9  _tlv_get_addr
    45000000    0.25%        9  java.util.HashMap.resize
    40000000    0.22%        8  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.nullSafeEquals
    40000000    0.22%        8  java.nio.HeapCharBuffer.<init>
    40000000    0.22%        8  pthread_jit_write_protect_np
    40000000    0.22%        8  java.util.concurrent.ConcurrentHashMap.replaceNode
    40000000    0.22%        8  fwd_copy_drain
    40000000    0.22%        8  Compile::find_alias_type
    40000000    0.22%        8  PhaseLive::add_liveout
    40000000    0.22%        8  PhaseChaitin::post_allocate_copy_removal
    40000000    0.22%        8  java.util.HashMap.putVal
    40000000    0.22%        8  java.lang.String.encodeUTF8
    35000000    0.19%        7  Matcher::xform
