--- Execution profile ---
Total samples       : 2850

          ns  percent  samples  top
  ----------  -------  -------  ---
  1175000000    8.25%      235  org.eclipse.rdf4j.sail.lmdb.TripleStore.packedValueId
   590000000    4.14%      118  java.lang.String.equals
   500000000    3.51%      100  java.util.HashMap.getNode
   420000000    2.95%       84  writev
   385000000    2.70%       77  __psynch_cvwait
   360000000    2.53%       72  __psynch_mutexwait
   355000000    2.49%       71  semaphore_wait_trap
   350000000    2.46%       70  G1ParScanThreadState::do_copy_to_survivor_space
   300000000    2.11%       60  java.io.PushbackReader.read
   285000000    2.00%       57  count_positives_stub
   275000000    1.93%       55  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
   265000000    1.86%       53  G1ConcurrentMark::mark_in_bitmap
   240000000    1.68%       48  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_object
   200000000    1.40%       40  java.lang.String.encodeUTF8
   190000000    1.33%       38  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   170000000    1.19%       34  java.util.HashMap.putVal
   155000000    1.09%       31  jbyte_disjoint_arraycopy_stub
   140000000    0.98%       28  G1ConcurrentMark::scan_root_region
   135000000    0.95%       27  org.eclipse.rdf4j.sail.lmdb.TripleStore.storePackedStatements
   125000000    0.88%       25  void OopOopIterateDispatch<G1MarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   120000000    0.84%       24  G1ParScanThreadState::trim_queue_to_threshold
   110000000    0.77%       22  java.util.HashMap.hash
   105000000    0.74%       21  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   100000000    0.70%       20  org.eclipse.rdf4j.sail.base.SailSourceConnection$2.hasNext
    90000000    0.63%       18  _platform_memset
    85000000    0.60%       17  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedValues
    75000000    0.53%       15  org.eclipse.rdf4j.rio.turtle.TurtleParser.readCodePoint
    75000000    0.53%       15  G1FullGCResetMetadataTask::G1ResetMetadataClosure::scrub_skip_compacting_region
    75000000    0.53%       15  java.lang.String.encodeUTF8_UTF16
    75000000    0.53%       15  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    75000000    0.53%       15  inflate_fast
    75000000    0.53%       15  SpinPause
    70000000    0.49%       14  swtch_pri
    70000000    0.49%       14  sun.nio.cs.StreamDecoder.read0
    70000000    0.49%       14  vtable stub
    70000000    0.49%       14  copy_byte_f_stub
    65000000    0.46%       13  java.nio.CharBuffer.wrap
    65000000    0.46%       13  _platform_bzero
    60000000    0.42%       12  mach_msg2_trap
    60000000    0.42%       12  java.nio.Buffer.position
    55000000    0.39%       11  java.nio.HeapCharBuffer.<init>
    55000000    0.39%       11  PhaseChaitin::Split
    50000000    0.35%       10  org.eclipse.rdf4j.model.impl.SimpleLiteral.equals
    50000000    0.35%       10  void OopOopIterateDispatch<G1AdjustClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    50000000    0.35%       10  jbyte_arraycopy_stub
    50000000    0.35%       10  java.nio.HeapByteBuffer.<init>
    45000000    0.32%        9  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
    45000000    0.32%        9  fwd_copy_drain
    45000000    0.32%        9  java.lang.String.decodeASCII
    45000000    0.32%        9  __open
    45000000    0.32%        9  org.eclipse.rdf4j.model.impl.DynamicModel$1.hasNext
    45000000    0.32%        9  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
    45000000    0.32%        9  void G1CMTask::process_grey_task_entry<true>
    45000000    0.32%        9  arrayof_jlong_disjoint_arraycopy_stub
    40000000    0.28%        8  __unlink
    40000000    0.28%        8  sun.nio.cs.StreamDecoder.read
    40000000    0.28%        8  zero_blocks_stub
    40000000    0.28%        8  IndexSetIterator::advance_and_next
    40000000    0.28%        8  sun.nio.cs.UTF_8$Decoder.decodeArrayLoop
