--- Execution profile ---
Total samples       : 3474

          ns  percent  samples  top
  ----------  -------  -------  ---
   990000000    5.70%      198  java.util.HashMap.putVal
   890000000    5.12%      178  G1ConcurrentMark::mark_in_bitmap
   860000000    4.95%      172  org.eclipse.rdf4j.sail.lmdb.TripleStore.packedValueId
   675000000    3.89%      135  G1ParScanThreadState::do_copy_to_survivor_space
   620000000    3.57%      124  java.lang.String.equals
   510000000    2.94%      102  G1ParScanThreadState::trim_queue_to_threshold
   410000000    2.36%       82  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   385000000    2.22%       77  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   375000000    2.16%       75  __psynch_mutexwait
   370000000    2.13%       74  __psynch_cvwait
   335000000    1.93%       67  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   300000000    1.73%       60  writev
   295000000    1.70%       59  void G1ScanCardClosure::do_oop_work<narrowOop>
   255000000    1.47%       51  count_positives_stub
   245000000    1.41%       49  java.io.PushbackReader.read
   225000000    1.30%       45  G1CMOopClosure::do_oop
   215000000    1.24%       43  org.eclipse.rdf4j.sail.lmdb.TripleStore.logAddedStatements
   205000000    1.18%       41  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_object
   190000000    1.09%       38  mach_msg2_trap
   165000000    0.95%       33  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   155000000    0.89%       31  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
   150000000    0.86%       30  org.eclipse.rdf4j.model.impl.GenericStatement.hashCode
   145000000    0.83%       29  void G1RebuildRemSetClosure::do_oop_work<narrowOop>
   140000000    0.81%       28  java.util.HashMap.resize
   135000000    0.78%       27  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   120000000    0.69%       24  MarkBitMap::check_mark
   115000000    0.66%       23  java.util.HashMap.getNode
   110000000    0.63%       22  G1ConcurrentMark::scan_root_region
   110000000    0.63%       22  sun.nio.cs.StreamDecoder.read0
   110000000    0.63%       22  void G1CMTask::process_grey_task_entry<true>
   105000000    0.60%       21  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
   100000000    0.58%       20  java.lang.String.decodeASCII
   100000000    0.58%       20  void OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    95000000    0.55%       19  java.lang.String.encodeUTF8
    95000000    0.55%       19  void OopOopIterateDispatch<G1MarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    95000000    0.55%       19  org.eclipse.rdf4j.sail.lmdb.TripleStore.storePackedStatements
    90000000    0.52%       18  semaphore_wait_trap
    90000000    0.52%       18  java.util.HashMap.hash
    85000000    0.49%       17  _platform_memset
    80000000    0.46%       16  java.lang.String.encodeUTF8_UTF16
    80000000    0.46%       16  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedValues
    80000000    0.46%       16  java.nio.CharBuffer.wrap
    75000000    0.43%       15  G1CMTask::drain_local_queue
    75000000    0.43%       15  jbyte_disjoint_arraycopy_stub
    75000000    0.43%       15  inflate_fast
    75000000    0.43%       15  SpinPause
    75000000    0.43%       15  G1CMTask::drain_global_stack
    70000000    0.40%       14  java.util.LinkedHashMap.linkNodeAtEnd
    60000000    0.35%       12  G1CMBitMap::iterate
    60000000    0.35%       12  vtable stub
    60000000    0.35%       12  G1CMObjArrayProcessor::should_be_sliced
    60000000    0.35%       12  java.lang.Character.offsetByCodePoints
    60000000    0.35%       12  org.eclipse.rdf4j.rio.turtle.TurtleParser.readCodePoint
    60000000    0.35%       12  java.util.LinkedHashMap$LinkedHashIterator.nextNode
    55000000    0.32%       11  ClassLoaderData::oops_do
    55000000    0.32%       11  org.eclipse.rdf4j.common.net.ParsedIRI.parsePctEncoded
    55000000    0.32%       11  ___chkstk_darwin
    55000000    0.32%       11  java.util.HashMap.clear
    55000000    0.32%       11  fwd_copy_drain
    50000000    0.29%       10  PhaseChaitin::Split
    50000000    0.29%       10  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_or_scrub
    50000000    0.29%       10  org.eclipse.rdf4j.sail.base.SailSourceConnection$2.next
    50000000    0.29%       10  __open
    50000000    0.29%       10  java.util.HashMap.put
    50000000    0.29%       10  java.io.PushbackReader.unread
    50000000    0.29%       10  java.nio.HeapCharBuffer.<init>
    50000000    0.29%       10  G1CMTask::make_reference_grey
    50000000    0.29%       10  G1CollectedHeap::mark_evac_failure_object
    45000000    0.26%        9  PhaseChaitin::build_ifg_physical
    45000000    0.26%        9  Arena::contains
    45000000    0.26%        9  sun.nio.cs.UTF_8$Decoder.decodeArrayLoop
    45000000    0.26%        9  G1SATBMarkQueueSet::filter
    45000000    0.26%        9  jdk.internal.misc.Unsafe.convEndian
    45000000    0.26%        9  java.util.LinkedHashMap.newNode
    45000000    0.26%        9  pthread_jit_write_protect_np
    40000000    0.23%        8  org.eclipse.rdf4j.model.base.AbstractLiteral.hashCode
    40000000    0.23%        8  java.nio.HeapByteBuffer.<init>
    35000000    0.20%        7  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_and_scrub_region
    35000000    0.20%        7  jbyte_arraycopy_stub
    35000000    0.20%        7  __psynch_cvbroad
    35000000    0.20%        7  Node::set_req_X
    35000000    0.20%        7  org.eclipse.rdf4j.sail.base.Changeset.approveWithoutLock
    35000000    0.20%        7  java.nio.HeapByteBuffer.put
    35000000    0.20%        7  java.util.Arrays.binarySearch0
    35000000    0.20%        7  java.util.LinkedHashMap.afterNodeAccess
    35000000    0.20%        7  PhaseAggressiveCoalesce::insert_copies
    30000000    0.17%        6  sun.nio.cs.StreamDecoder.read
    30000000    0.17%        6  IndexSetIterator::advance_and_next
    30000000    0.17%        6  G1FullGCMarker::publish_and_drain_oop_tasks
    30000000    0.17%        6  org.eclipse.rdf4j.sail.lmdb.PackedValueCodec.encode
    30000000    0.17%        6  java.lang.AbstractStringBuilder.append
    30000000    0.17%        6  java.lang.StringUTF16.compress
    30000000    0.17%        6  java.nio.Buffer.position
    30000000    0.17%        6  java.nio.charset.CharsetDecoder.decode
    30000000    0.17%        6  __psynch_mutexdrop
    30000000    0.17%        6  swtch_pri
    30000000    0.17%        6  PhaseChaitin::gather_lrg_masks
    30000000    0.17%        6  org.eclipse.rdf4j.model.impl.DynamicModel.add
    30000000    0.17%        6  HeapWordImpl** G1HeapRegion::oops_on_memregion_iterate<G1ScanCardClosure, true>
    25000000    0.14%        5  arrayof_jlong_disjoint_arraycopy_stub
    25000000    0.14%        5  _platform_bzero
    25000000    0.14%        5  PhaseIdealLoop::build_loop_late
    25000000    0.14%        5  org.eclipse.rdf4j.model.impl.DynamicModel.isEmpty
    25000000    0.14%        5  PhaseIdealLoop::build_loop_early
    25000000    0.14%        5  LinearScan::assign_reg_num
    25000000    0.14%        5  GenericTaskQueueSet<OverflowTaskQueue<ScannerTask, (MemTag)5, 131072u>, (MemTag)5>::steal_best_of_2
    25000000    0.14%        5  org.eclipse.rdf4j.sail.lmdb.TripleStore.writePackedQuadIds
    25000000    0.14%        5  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    25000000    0.14%        5  void ObjArrayKlass::oop_oop_iterate_elements_bounded<narrowOop, G1MarkAndPushClosure>
    25000000    0.14%        5  java.lang.AbstractStringBuilder.needsNewBuffer
    25000000    0.14%        5  void OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<TypeArrayKlass, narrowOop>
    25000000    0.14%        5  org.eclipse.rdf4j.model.impl.SimpleLiteral.equals
    25000000    0.14%        5  org.eclipse.rdf4j.common.net.ParsedIRI.advance
    20000000    0.12%        4  PhaseChaitin::elide_copy
    20000000    0.12%        4  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
    20000000    0.12%        4  java.lang.String.charAt
    20000000    0.12%        4  InstanceKlass::find_method_index
    20000000    0.12%        4  java.lang.String.codePointAt
    20000000    0.12%        4  java.lang.String.coder
