--- Execution profile ---
Total samples       : 6594

          ns  percent  samples  top
  ----------  -------  -------  ---
  7770000000   23.57%     1554  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
  3860000000   11.71%      772  __psynch_cvwait
  2220000000    6.73%      444  _platform_memcmp
   920000000    2.79%      184  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.flush
   840000000    2.55%      168  swtch_pri
   800000000    2.43%      160  stub:memcmp
   700000000    2.12%      140  java.lang.String.equals
   595000000    1.80%      119  _platform_memmove
   420000000    1.27%       84  org.eclipse.rdf4j.sail.lmdb.LeadingFieldSorters.lsdRadixSort
   400000000    1.21%       80  G1ParScanThreadState::do_copy_to_survivor_space
   375000000    1.14%       75  __psynch_mutexwait
   365000000    1.11%       73  __psynch_cvsignal
   350000000    1.06%       70  org.eclipse.rdf4j.sail.lmdb.ValueStore.getId
   325000000    0.99%       65  java.util.HashMap.putVal
   295000000    0.89%       59  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   265000000    0.80%       53  writev
   265000000    0.80%       53  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   265000000    0.80%       53  java.io.PushbackReader.read
   225000000    0.68%       45  G1ParScanThreadState::trim_queue_to_threshold
   210000000    0.64%       42  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.lambda$startTransaction$0
   200000000    0.61%       40  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   200000000    0.61%       40  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
   200000000    0.61%       40  pthread_jit_write_protect_np
   185000000    0.56%       37  java.util.concurrent.ForkJoinPool.runWorker
   165000000    0.50%       33  java.util.HashMap.resize
   150000000    0.45%       30  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
   140000000    0.42%       28  java.util.concurrent.ForkJoinPool.deactivate
   140000000    0.42%       28  org.eclipse.rdf4j.model.impl.DynamicModel.add
   135000000    0.41%       27  org.eclipse.collections.impl.iterator.UnmodifiableLongIterator.hasNext
   135000000    0.41%       27  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.approveAllBulk
   120000000    0.36%       24  _platform_memset
   110000000    0.33%       22  PhaseChaitin::Split
   105000000    0.32%       21  Arena::contains
   100000000    0.30%       20  org.eclipse.rdf4j.model.base.AbstractBNode.equals
    95000000    0.29%       19  sun.nio.cs.StreamDecoder.read0
    95000000    0.29%       19  java.nio.Buffer.session
    95000000    0.29%       19  void G1ScanCardClosure::do_oop_work<narrowOop>
    90000000    0.27%       18  void OopOopIterateDispatch<G1MarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    90000000    0.27%       18  java.util.concurrent.ConcurrentHashMap.putVal
    90000000    0.27%       18  java.lang.Thread.interrupted
    85000000    0.26%       17  org.eclipse.rdf4j.sail.base.Changeset.approve
    80000000    0.24%       16  itable stub
    80000000    0.24%       16  IndexSetIterator::advance_and_next
    80000000    0.24%       16  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$CircularBuffer.remove
    80000000    0.24%       16  PhaseChaitin::build_ifg_physical
    80000000    0.24%       16  java.nio.ByteBuffer.order
    80000000    0.24%       16  java.util.concurrent.atomic.AtomicBoolean.get
    75000000    0.23%       15  java.util.concurrent.ConcurrentHashMap.replaceNode
    75000000    0.23%       15  java.lang.String.decodeASCII
    70000000    0.21%       14  org.eclipse.rdf4j.model.impl.GenericStatement.<init>
