--- Execution profile ---
Total samples       : 5379

          ns  percent  samples  top
  ----------  -------  -------  ---
  3885000000   14.45%      777  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
  3290000000   12.23%      658  __psynch_cvwait
  2515000000    9.35%      503  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.flush
  1090000000    4.05%      218  _platform_memcmp
   935000000    3.48%      187  swtch_pri
   740000000    2.75%      148  org.eclipse.rdf4j.sail.lmdb.LeadingFieldSorters.lsdRadixSort
   670000000    2.49%      134  __psynch_cvsignal
   510000000    1.90%      102  _platform_memmove
   455000000    1.69%       91  pthread_jit_write_protect_np
   355000000    1.32%       71  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.lambda$startTransaction$0
   315000000    1.17%       63  stub:memcmp
   255000000    0.95%       51  java.io.PushbackReader.read
   245000000    0.91%       49  G1ParScanThreadState::trim_queue_to_threshold
   230000000    0.86%       46  java.util.HashMap.putVal
   225000000    0.84%       45  writev
   215000000    0.80%       43  java.util.concurrent.ForkJoinPool.deactivate
   195000000    0.73%       39  java.util.concurrent.ForkJoinPool.runWorker
   190000000    0.71%       38  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   170000000    0.63%       34  G1ParScanThreadState::do_copy_to_survivor_space
   160000000    0.59%       32  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.probe
   155000000    0.58%       31  mach_absolute_time
   155000000    0.58%       31  __psynch_mutexwait
   135000000    0.50%       27  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$CircularBuffer.remove
   120000000    0.45%       24  sun.nio.cs.StreamDecoder.read0
   115000000    0.43%       23  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   100000000    0.37%       20  G1ConcurrentMark::mark_in_bitmap
   100000000    0.37%       20  java.lang.String.decodeASCII
    95000000    0.35%       19  java.lang.Thread.interrupted
    95000000    0.35%       19  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.probe
    95000000    0.35%       19  org.eclipse.rdf4j.model.impl.SimpleIRI.hashCode
    95000000    0.35%       19  inflate_fast
    90000000    0.33%       18  void OopOopIterateDispatch<G1MarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    85000000    0.32%       17  java.lang.VirtualThread.getAndClearInterrupt
    85000000    0.32%       17  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
