
 Version: 2.1
 Chunks: 1
 Start: 2026-07-10 12:48:44 (UTC)
 Duration: 709 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.JavaExceptionThrow                  25031        475709
 jdk.ThreadPark                          20938        834560
 jdk.ObjectAllocationSample              18540        293325
 jdk.CPUTimeSample                       18417        318891
 jdk.ExecutionSample                      8259        100047
 jdk.NativeMethodSample                   4268         54143
 jdk.GCPhaseParallel                      1578         40133
 jdk.BooleanFlag                           733         22153
 jdk.ModuleExport                          638          7506
 jdk.Checkpoint                            421       1170600
 jdk.ActiveSetting                         380          9423
 jdk.CPUTimeSamplesLost                    309          3172
 jdk.ThreadCPULoad                         217          3654
 jdk.Deoptimization                        213          5121
 jdk.TenuringDistribution                  180          1962
 jdk.UnsignedLongFlag                      167          5913
 jdk.LongFlag                              166          5197
 jdk.ModuleRequire                         158          1738
 jdk.CPULoad                                96          1905
 jdk.ClassLoadingStatistics                 96          1041
 jdk.CompilerStatistics                     96          2769
 jdk.ExceptionStatistics                    96          1136
 jdk.JavaThreadStatistics                   96          1137
 jdk.ResidentSetSize                        96          1713
 jdk.UnsignedIntFlag                        79          2684
 jdk.GCPhasePauseLevel2                     70          3067
 jdk.StringFlag                             59          2051
 jdk.IntFlag                                57          2020
 jdk.GCPhasePauseLevel1                     56          2214
 jdk.ThreadAllocationStatistics             53           543
 jdk.GCReferenceStatistics                  48           521
 jdk.MetaspaceChunkFreeListSummary          48           896
 jdk.InitialSecurityProperty                45          2224
 jdk.PromoteObjectInNewPLAB                 43           727
 jdk.CompilerQueueUtilization               38           762
 jdk.ThreadStart                            38           450
 jdk.DoubleFlag                             35          1538
 jdk.JavaErrorThrow                         35           701
 jdk.NativeLibrary                          35          2164
 jdk.PromoteObjectOutsidePLAB               29           453
 jdk.DeprecatedInvocation                   25           522
 jdk.G1HeapSummary                          24           594
 jdk.GCHeapSummary                          24           937
 jdk.MetaspaceSummary                       24          1240
 jdk.ExecuteVMOperation                     22           372
 jdk.JavaMonitorWait                        22           632
 jdk.ThreadEnd                              21           197
 jdk.DirectBufferStatistics                 19           412
 jdk.SafepointBegin                         19           260
 jdk.InitialEnvironmentVariable             18          1700
 jdk.InitialSystemProperty                  17           837
 jdk.GCCPUTime                              12           212
 jdk.GCPhasePause                           12           283
 jdk.GarbageCollection                      12           281
 jdk.OldGarbageCollection                   10           128
 jdk.SystemGC                               10           158
 jdk.NetworkUtilization                      9           114
 jdk.StringTableStatistics                   9           332
 jdk.SymbolTableStatistics                   9           350
 jdk.ThreadContextSwitchRate                 9           107
 jdk.OldObjectSample                         8           270
 jdk.NativeLibraryLoad                       7           451
 jdk.ClassLoaderStatistics                   6           165
 jdk.CodeCacheStatistics                     6           198
 jdk.GCHeapMemoryPoolUsage                   6           219
