--- Execution profile ---
Total samples       : 10921

          ns  percent  samples  top
  ----------  -------  -------  ---
 24510000000   44.89%     4902  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
  6630000000   12.14%     1326  _platform_memcmp
  1680000000    3.08%      336  stub:memcmp
  1275000000    2.33%      255  org.eclipse.rdf4j.sail.lmdb.LeadingFieldSorters.lsdRadixSort
   870000000    1.59%      174  _platform_memmove
   785000000    1.44%      157  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   780000000    1.43%      156  G1ParScanThreadState::trim_queue_to_threshold
   720000000    1.32%      144  G1ConcurrentMark::mark_in_bitmap
   680000000    1.25%      136  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   610000000    1.12%      122  G1ParScanThreadState::do_copy_to_survivor_space
   490000000    0.90%       98  org.eclipse.rdf4j.sail.lmdb.TxnRecordCache.getRecordState
   460000000    0.84%       92  G1CMOopClosure::do_oop
   440000000    0.81%       88  void G1ScanCardClosure::do_oop_work<narrowOop>
   365000000    0.67%       73  writev
   345000000    0.63%       69  void G1RebuildRemSetClosure::do_oop_work<narrowOop>
   340000000    0.62%       68  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.storePreparedStatements
   320000000    0.59%       64  java.nio.Buffer.nextGetIndex
   295000000    0.54%       59  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   280000000    0.51%       56  org.eclipse.rdf4j.model.impl.SimpleLiteral.equals
   275000000    0.50%       55  pthread_jit_write_protect_np
   240000000    0.44%       48  java.nio.DirectByteBuffer.put
   220000000    0.40%       44  org.eclipse.rdf4j.sail.lmdb.TripleStore.updateFromCache
   210000000    0.38%       42  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_object
   195000000    0.36%       39  org.lwjgl.util.lmdb.LMDB.nmdb_get
   190000000    0.35%       38  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.probe
   185000000    0.34%       37  __psynch_cvwait
   160000000    0.29%       32  void G1CMTask::process_grey_task_entry<true>
   155000000    0.28%       31  java.nio.Buffer.session
   155000000    0.28%       31  org.lwjgl.util.lmdb.LMDB.nmdb_put
   145000000    0.27%       29  void OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   135000000    0.25%       27  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   135000000    0.25%       27  stub:memcpy
   130000000    0.24%       26  updateBytesCRC32
   130000000    0.24%       26  java.nio.ByteBuffer.order
   130000000    0.24%       26  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
   125000000    0.23%       25  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.probe
   125000000    0.23%       25  org.eclipse.rdf4j.sail.lmdb.TripleStore.encodeIndexKeys
   120000000    0.22%       24  G1CMTask::make_reference_grey
   110000000    0.20%       22  PhaseChaitin::build_ifg_physical
   105000000    0.19%       21  IndexSetIterator::advance_and_next
   105000000    0.19%       21  _xzm_xzone_malloc_small_freelist
   105000000    0.19%       21  org.eclipse.rdf4j.sail.lmdb.PreparedStatementBatch$Builder.add
   105000000    0.19%       21  java.lang.String.equals
   100000000    0.18%       20  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
   100000000    0.18%       20  PhaseChaitin::elide_copy
    95000000    0.17%       19  G1CMTask::drain_local_queue
    90000000    0.16%       18  org.eclipse.rdf4j.sail.lmdb.ConcurrentCache.put
    85000000    0.16%       17  itable stub
    85000000    0.16%       17  java.util.concurrent.ConcurrentHashMap.replaceNode
    80000000    0.15%       16  java.nio.Buffer.nextPutIndex
    75000000    0.14%       15  org.lwjgl.system.MemoryStack.nmalloc
    75000000    0.14%       15  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_put
    75000000    0.14%       15  ClassLoaderData::oops_do
    70000000    0.13%       14  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.get
