--- Execution profile ---
Total samples       : 4169

          ns  percent  samples  top
  ----------  -------  -------  ---
  4585000000   22.00%      917  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.4.1-snapshot/arm64/liblwjgl_lmdb.dylib
  2305000000   11.06%      461  org.eclipse.rdf4j.sail.lmdb.join.LmdbLongHashSet.add
  1785000000    8.56%      357  org.eclipse.rdf4j.sail.lmdb.Varint.readUnsigned
  1550000000    7.44%      310  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_get
  1420000000    6.81%      284  org.eclipse.rdf4j.sail.lmdb.TripleStore$TripleIndex.keyToQuad
   850000000    4.08%      170  org.lwjgl.util.lmdb.LMDB.nmdb_cmp
   540000000    2.59%      108  org.eclipse.rdf4j.sail.lmdb.TripleStore.matches
   480000000    2.30%       96  org.eclipse.rdf4j.sail.lmdb.join.LmdbLongHashSet.contains
   330000000    1.58%       66  __psynch_cvwait
   305000000    1.46%       61  org.eclipse.rdf4j.sail.lmdb.join.LmdbLongHashSet.slot
   300000000    1.44%       60  org.eclipse.rdf4j.sail.lmdb.TripleStore.scanTriplesUsingIndex
   285000000    1.37%       57  _platform_memcmp
   210000000    1.01%       42  stub:memcmp
   160000000    0.77%       32  org.eclipse.rdf4j.sail.lmdb.LmdbIdLibraryBranchCopyDistinctCountQueryEvaluationStep.lambda$evaluate$1
   140000000    0.67%       28  __psynch_mutexwait
   110000000    0.53%       22  org.lwjgl.system.Pointer$Default.address
   105000000    0.50%       21  sun.misc.Unsafe.getByte
    90000000    0.43%       18  Arena::contains
    80000000    0.38%       16  pthread_jit_write_protect_np
    75000000    0.36%       15  semaphore_wait_trap
    70000000    0.34%       14  _platform_memset
    65000000    0.31%       13  PhaseChaitin::build_ifg_physical
    65000000    0.31%       13  PhaseChaitin::Split
    60000000    0.29%       12  PhaseChaitin::elide_copy
    60000000    0.29%       12  org.eclipse.rdf4j.sail.lmdb.LmdbIdLibraryBranchCopyDistinctCountQueryEvaluationStep$$Lambda.0x0000000701262bc0.accept
    60000000    0.29%       12  IndexSetIterator::advance_and_next
    55000000    0.26%       11  sun.misc.Unsafe.getLong
    50000000    0.24%       10  Matcher::xform
    45000000    0.22%        9  _platform_bzero
    45000000    0.22%        9  Node::dominates
    40000000    0.19%        8  org.lwjgl.util.lmdb.LMDB.mdb_cursor_get
    35000000    0.17%        7  Node::set_req_X
    35000000    0.17%        7  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    35000000    0.17%        7  PhaseAggressiveCoalesce::insert_copies
    35000000    0.17%        7  PhaseOutput::BuildOopMaps
    35000000    0.17%        7  Dict::Insert
    35000000    0.17%        7  PhaseIdealLoop::build_loop_late_post_work
    35000000    0.17%        7  PhaseChaitin::gather_lrg_masks
    30000000    0.14%        6  SymbolTable::do_lookup
    30000000    0.14%        6  inflate_fast
    30000000    0.14%        6  PhaseIFG::SquareUp
    30000000    0.14%        6  PhaseIFG::effective_degree
    30000000    0.14%        6  org.eclipse.rdf4j.sail.lmdb.estimate.LmdbBtreeRangeCounter.countRange
    30000000    0.14%        6  Unique_Node_List::remove
    30000000    0.14%        6  ciObjectFactory::get_metadata
    25000000    0.12%        5  LIR_OpVisitState::visit
    25000000    0.12%        5  Matcher::Label_Root
    25000000    0.12%        5  MultiNode::is_CFG
    25000000    0.12%        5  PhaseIterGVN::add_users_of_use_to_worklist
    25000000    0.12%        5  PhaseIterGVN::subsume_node
    25000000    0.12%        5  BarrierSetC2::compute_liveness_at_stubs
    25000000    0.12%        5  inflate
    25000000    0.12%        5  ciTypeFlow::StateVector::apply_one_bytecode
    25000000    0.12%        5  PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
    25000000    0.12%        5  PhaseLive::compute
    25000000    0.12%        5  LinearScanWalker::alloc_free_reg
    20000000    0.10%        4  Compile::disconnect_useless_nodes
    20000000    0.10%        4  PhaseCFG::raise_above_anti_dependences
    20000000    0.10%        4  _tlv_get_addr
    20000000    0.10%        4  I2C/C2I adapters(0xb)
    20000000    0.10%        4  PhiNode::is_unsafe_data_reference
    20000000    0.10%        4  _platform_memmove
    20000000    0.10%        4  PhaseIdealLoop::build_loop_early
    20000000    0.10%        4  PhaseIterGVN::transform_old
    20000000    0.10%        4  BarrierSetAssembler::refine_register
    20000000    0.10%        4  Node::set_req
    20000000    0.10%        4  LinearScan::assign_reg_num
    20000000    0.10%        4  sys_icache_invalidate
    20000000    0.10%        4  vmSymbols::find_sid
    20000000    0.10%        4  Dictionary::find_class
    20000000    0.10%        4  __psynch_cvbroad
    20000000    0.10%        4  PhaseChaitin::post_allocate_copy_removal
    15000000    0.07%        3  Node::add_req
    15000000    0.07%        3  Compile::find_alias_type
    15000000    0.07%        3  ProjNode::pinned
    15000000    0.07%        3  Node::remove_dead_region
    15000000    0.07%        3  resource_allocate_bytes
    15000000    0.07%        3  Matcher::match_tree
    15000000    0.07%        3  G1ParScanThreadState::trim_queue_to_threshold
    15000000    0.07%        3  TypeNode::bottom_type
    15000000    0.07%        3  Matcher::find_shared
    15000000    0.07%        3  MachNode::ideal_reg
    15000000    0.07%        3  PhaseCFG::partial_latency_of_defs
    15000000    0.07%        3  GraphBuilder::ScopeData::add_to_work_list
    15000000    0.07%        3  SymbolTable::new_symbol
    15000000    0.07%        3  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator.loadDirectoryIndexEntries
    15000000    0.07%        3  PhaseCFG::schedule_late
    15000000    0.07%        3  PhaseCFG::select
    15000000    0.07%        3  __psynch_mutexdrop
    15000000    0.07%        3  Node::is_dead_loop_safe
    15000000    0.07%        3  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator$CacheDirectory.findOrAdd
    15000000    0.07%        3  RelocIterator::advance_over_prefix
    15000000    0.07%        3  RegionNode::is_unreachable_from_root
    15000000    0.07%        3  PhaseChaitin::Simplify
    15000000    0.07%        3  mach_msg2_trap
    15000000    0.07%        3  mach_absolute_time
    15000000    0.07%        3  PhaseChaitin::remove_bound_register_from_interfering_live_ranges
