--- Execution profile ---
Total samples       : 2619

          ns  percent  samples  top
  ----------  -------  -------  ---
  1710000000   13.06%      342  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
   530000000    4.05%      106  org.eclipse.rdf4j.sail.lmdb.LeadingFieldSorters.lsdRadixSort
   405000000    3.09%       81  _platform_memcmp
   365000000    2.79%       73  G1ParScanThreadState::do_copy_to_survivor_space
   330000000    2.52%       66  G1ParScanThreadState::trim_queue_to_threshold
   270000000    2.06%       54  java.io.PushbackReader.read
   215000000    1.64%       43  org.eclipse.rdf4j.sail.lmdb.Varint.writeUnsigned
   210000000    1.60%       42  _platform_memmove
   190000000    1.45%       38  java.util.HashMap.putVal
   170000000    1.30%       34  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   160000000    1.22%       32  org.eclipse.rdf4j.sail.lmdb.Varint.writeSignificantBits
   125000000    0.95%       25  org.eclipse.rdf4j.sail.lmdb.ValueStore.addPreparedValueRecord
   115000000    0.88%       23  inflate_fast
   115000000    0.88%       23  stub:memcmp
   105000000    0.80%       21  void G1ScanCardClosure::do_oop_work<narrowOop>
   105000000    0.80%       21  java.nio.CharBuffer.wrap
    95000000    0.73%       19  PhaseChaitin::Split
    95000000    0.73%       19  Node::set_req_X
    95000000    0.73%       19  org.eclipse.rdf4j.sail.lmdb.PreparedStatementBatch.valueId
    90000000    0.69%       18  sun.nio.cs.StreamDecoder.read0
    85000000    0.65%       17  java.util.HashMap.resize
    80000000    0.61%       16  __psynch_cvwait
    80000000    0.61%       16  IndexSetIterator::advance_and_next
    80000000    0.61%       16  PhaseChaitin::build_ifg_physical
    75000000    0.57%       15  java.lang.String.decodeASCII
    75000000    0.57%       15  java.io.PushbackReader.unread
    75000000    0.57%       15  large_arrays_hashcode_boolean
    75000000    0.57%       15  close
    70000000    0.53%       14  PhaseChaitin::elide_copy
    70000000    0.53%       14  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.get
    65000000    0.50%       13  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_put
    65000000    0.50%       13  Arena::contains
    65000000    0.50%       13  _platform_bzero
    65000000    0.50%       13  java.nio.HeapCharBuffer.<init>
    65000000    0.50%       13  java.nio.charset.CharsetDecoder.decode
    60000000    0.46%       12  java.lang.String.equals
    60000000    0.46%       12  org.eclipse.rdf4j.rio.turtle.TurtleParser.readCodePoint
    60000000    0.46%       12  count_positives
    60000000    0.46%       12  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.probe
    55000000    0.42%       11  java.nio.ByteBuffer.order
    55000000    0.42%       11  sun.nio.cs.StreamDecoder.implRead
    55000000    0.42%       11  org.eclipse.rdf4j.common.net.ParsedIRI.parsePctEncoded
    50000000    0.38%       10  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
    50000000    0.38%       10  java.nio.DirectByteBuffer.put
    50000000    0.38%       10  PhaseIdealLoop::build_loop_late
    50000000    0.38%       10  __psynch_mutexwait
    50000000    0.38%       10  org.eclipse.rdf4j.sail.lmdb.PreparedStatementBatch$Builder.add
    50000000    0.38%       10  sun.nio.cs.StreamDecoder.read
    45000000    0.34%        9  arrayof_jlong_disjoint_arraycopy
