--- Execution profile ---
Total samples       : 5025

          ns  percent  samples  top
  ----------  -------  -------  ---
  4340000000   17.27%      868  __psynch_cvwait
  3190000000   12.70%      638  org.lwjgl.util.lmdb.LMDB.nmdb_cmp
  1955000000    7.78%      391  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.4.1-snapshot/arm64/liblwjgl_lmdb.dylib
  1200000000    4.78%      240  __psynch_mutexwait
  1040000000    4.14%      208  org.eclipse.rdf4j.sail.lmdb.join.LmdbLongHashSet.add
   910000000    3.62%      182  stub:memcmp
   525000000    2.09%      105  org.eclipse.rdf4j.sail.lmdb.Varint.readUnsigned
   450000000    1.79%       90  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_get
   430000000    1.71%       86  org.eclipse.rdf4j.sail.lmdb.TripleStore.scanTriplesUsingIndexComponents
   370000000    1.47%       74  org.eclipse.rdf4j.sail.lmdb.join.LmdbLongHashSet.contains
   355000000    1.41%       71  semaphore_wait_trap
   345000000    1.37%       69  _platform_memcmp
   150000000    0.60%       30  inflate_fast
   140000000    0.56%       28  org.eclipse.rdf4j.sail.lmdb.estimate.LmdbBtreeRangeCounter.countRange
   135000000    0.54%       27  PhaseChaitin::build_ifg_physical
   135000000    0.54%       27  __psynch_mutexdrop
   125000000    0.50%       25  Arena::contains
   125000000    0.50%       25  __psynch_cvbroad
   120000000    0.48%       24  org.eclipse.rdf4j.sail.lmdb.TripleStore.scanSelectedKey
   110000000    0.44%       22  InstanceKlass::find_method_index
   105000000    0.42%       21  swtch_pri
   100000000    0.40%       20  IndexSetIterator::advance_and_next
    85000000    0.34%       17  PhaseChaitin::elide_copy
    80000000    0.32%       16  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator.loadDirectoryIndexEntries
    75000000    0.30%       15  PhaseChaitin::Split
    70000000    0.28%       14  sun.misc.Unsafe.getByte
    70000000    0.28%       14  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator$CacheDirectory.findOrAdd
    65000000    0.26%       13  PhaseChaitin::gather_lrg_masks
    65000000    0.26%       13  org.lwjgl.util.lmdb.LMDB.mdb_cmp
    60000000    0.24%       12  _platform_memset
    60000000    0.24%       12  PhaseChaitin::Select
    55000000    0.22%       11  _platform_bzero
    55000000    0.22%       11  PhaseIdealLoop::build_loop_early
    55000000    0.22%       11  org.lwjgl.util.lmdb.LMDB.mdb_cursor_get
    50000000    0.20%       10  Compile::find_alias_type
    50000000    0.20%       10  fwd_copy_again
    50000000    0.20%       10  pthread_jit_write_protect_np
    50000000    0.20%       10  Node::is_dead_loop_safe
    50000000    0.20%       10  SymbolTable::lookup_shared
    50000000    0.20%       10  vmSymbols::find_sid
    50000000    0.20%       10  I2C/C2I adapters(0xb)
    50000000    0.20%       10  PhiNode::is_unsafe_data_reference
    45000000    0.18%        9  PhaseIdealLoop::build_loop_late
    45000000    0.18%        9  Compile::identify_useful_nodes
    45000000    0.18%        9  Type::Initialize_shared(Compile*)::$_0::__invoke
    45000000    0.18%        9  PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
    45000000    0.18%        9  PhaseIterGVN::add_users_of_use_to_worklist
    45000000    0.18%        9  ciObjectFactory::get_metadata
    40000000    0.16%        8  LinearScanWalker::alloc_free_reg
    40000000    0.16%        8  PhaseChaitin::post_allocate_copy_removal
    40000000    0.16%        8  sun.misc.Unsafe.getLong
    40000000    0.16%        8  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    40000000    0.16%        8  java.io.ByteArrayInputStream.read
    40000000    0.16%        8  java.lang.invoke.VarHandle.checkAccessModeThenIsDirect
    40000000    0.16%        8  LIR_OpVisitState::visit
    40000000    0.16%        8  _platform_memmove
    35000000    0.14%        7  thread_start
    35000000    0.14%        7  G1ParScanThreadState::do_copy_to_survivor_space
    35000000    0.14%        7  PhaseOutput::BuildOopMaps
    35000000    0.14%        7  org.eclipse.rdf4j.sail.lmdb.LmdbIdLibraryBranchCopyDistinctCountQueryEvaluationStep.lambda$evaluate$1
    35000000    0.14%        7  Node::set_req_X
    35000000    0.14%        7  [unknown]
    35000000    0.14%        7  Dictionary::find_class
    35000000    0.14%        7  PhaseIterGVN::subsume_node
    35000000    0.14%        7  SymbolTable::do_lookup
    35000000    0.14%        7  ClassFileParser::skip_over_field_signature
    35000000    0.14%        7  _tlv_get_addr
    35000000    0.14%        7  Matcher::xform
    35000000    0.14%        7  Node::dominates
    35000000    0.14%        7  org.lwjgl.system.Pointer$Default.address
    35000000    0.14%        7  PhaseIdealLoop::Dominators
    35000000    0.14%        7  resource_allocate_bytes
    35000000    0.14%        7  Compile::disconnect_useless_nodes
    35000000    0.14%        7  UTF8::is_legal_utf8
    30000000    0.12%        6  PhaseIterGVN::transform_old
    30000000    0.12%        6  CallStaticJavaNode::Opcode
    30000000    0.12%        6  Unique_Node_List::remove
    30000000    0.12%        6  NodeHash::hash_find_insert
    30000000    0.12%        6  I2C/C2I adapters(0xbb)
    30000000    0.12%        6  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchEstimatorPersistenceStore.readIndex
    30000000    0.12%        6  PhaseAggressiveCoalesce::insert_copies
    30000000    0.12%        6  MergeMemNode::Ideal
    30000000    0.12%        6  PhaseIdealLoop::build_loop_late_post_work
    30000000    0.12%        6  mach_absolute_time
    25000000    0.10%        5  ClassFileParser::parse_constant_pool_entries
    25000000    0.10%        5  PhaseIdealLoop::is_dominator
    25000000    0.10%        5  PhaseIdealLoop::build_loop_tree
    25000000    0.10%        5  _platform_memchr
    25000000    0.10%        5  RegMask::subtract
    25000000    0.10%        5  RegionNode::is_CFG
    25000000    0.10%        5  PhaseChaitin::build_ifg_virtual
