--- Execution profile ---
Total samples       : 1061

          ns  percent  samples  top
  ----------  -------  -------  ---
   330000000    6.22%       66  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.4.1-snapshot/arm64/liblwjgl_lmdb.dylib
   290000000    5.47%       58  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator$CacheDirectory.findOrAdd
    95000000    1.79%       19  __psynch_mutexwait
    90000000    1.70%       18  __psynch_cvwait
    85000000    1.60%       17  org.lwjgl.util.lmdb.LMDB.nmdb_cursor_get
    70000000    1.32%       14  Arena::contains
    60000000    1.13%       12  PhaseChaitin::build_ifg_physical
    55000000    1.04%       11  sun.misc.Unsafe.allocateInstance
    50000000    0.94%       10  java.nio.Buffer.position
    50000000    0.94%       10  _platform_memcmp
    50000000    0.94%       10  java.io.ByteArrayInputStream.read
    45000000    0.85%        9  org.eclipse.rdf4j.sail.lmdb.util.GroupMatcher.matches
    45000000    0.85%        9  inflate_fast
    45000000    0.85%        9  PhaseChaitin::Split
    40000000    0.75%        8  Matcher::xform
    40000000    0.75%        8  IndexSetIterator::advance_and_next
    40000000    0.75%        8  org.eclipse.rdf4j.sail.lmdb.util.GroupMatcher$$Lambda.0x00003fe0012cc000.matches
    35000000    0.66%        7  _platform_memset
    35000000    0.66%        7  PhaseChaitin::elide_copy
    35000000    0.66%        7  G1ParScanThreadState::do_copy_to_survivor_space
    35000000    0.66%        7  Node::is_CFG
    35000000    0.66%        7  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    35000000    0.66%        7  __psynch_mutexdrop
    30000000    0.57%        6  org.eclipse.rdf4j.sail.lmdb.util.GroupMatcher.skipAhead
    30000000    0.57%        6  pthread_jit_write_protect_np
    30000000    0.57%        6  PhaseChaitin::gather_lrg_masks
    30000000    0.57%        6  PhaseIdealLoop::Dominators
    30000000    0.57%        6  PhaseIterGVN::subsume_node
    30000000    0.57%        6  PhaseLive::compute
    30000000    0.57%        6  InstanceKlass::find_method_index
    25000000    0.47%        5  Node::set_req
    25000000    0.47%        5  Dict::Insert
    25000000    0.47%        5  PhaseIdealLoop::build_loop_early
    25000000    0.47%        5  PhaseIdealLoop::build_loop_late_post_work
    25000000    0.47%        5  PhaseIterGVN::add_users_of_use_to_worklist
    25000000    0.47%        5  org.eclipse.rdf4j.sail.lmdb.LmdbRecordIterator.next
    25000000    0.47%        5  UTF8::is_legal_utf8
    25000000    0.47%        5  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchEstimatorPersistenceStore.readIndex
    25000000    0.47%        5  vmSymbols::find_sid
    25000000    0.47%        5  LinearScanWalker::alloc_free_reg
    20000000    0.38%        4  ciObjectFactory::get_metadata
    20000000    0.38%        4  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator$CacheDirectory.rehash
    20000000    0.38%        4  IndexSet::insert
    20000000    0.38%        4  Compile::find_alias_type
    20000000    0.38%        4  Type::Initialize_shared(Compile*)::$_0::__invoke
    20000000    0.38%        4  IfFalseNode::Opcode
    20000000    0.38%        4  org.eclipse.rdf4j.sail.lmdb.LmdbRecordIterator.matches
    20000000    0.38%        4  ValueStack::ValueStack
    20000000    0.38%        4  [unknown]
